,DDQN_Base_Model
0,"{'reward': 0.20246022367039443, 'makespan': 2000.701360142904, 'energy': 3.6672633718014986, 'cost': 52.47269838193164, 'latency': 4.455, 'utilization': 0.4945396763863296, 'throughput': 0.10141117946381101}"
1,"{'reward': 0.209099668777959, 'makespan': 1.020398217565522, 'energy': 3.7275012231088067, 'cost': 52.51501225536998, 'latency': 4.405, 'utilization': 0.503002451073996, 'throughput': 0.10289326926943025}"
2,"{'reward': 0.2147870529850144, 'makespan': 1.3268224319371293, 'energy': 3.780781259516496, 'cost': 52.55208471481794, 'latency': 4.38, 'utilization': 0.5104169429635881, 'throughput': 0.10357070707070702}"
3,"{'reward': 0.21373712235615003, 'makespan': 0.6766468601703538, 'energy': 3.788055857193774, 'cost': 52.55240181860057, 'latency': 4.525, 'utilization': 0.5104803637201172, 'throughput': 0.10011837749453846}"
4,"{'reward': 0.20650440676596546, 'makespan': 2000.6307678462724, 'energy': 3.7220095698169144, 'cost': 52.50564290603111, 'latency': 4.56, 'utilization': 0.5011285812062206, 'throughput': 0.09959765724471606}"
5,"{'reward': 0.21770436841085009, 'makespan': 2000.6903933345875, 'energy': 3.8226177543607407, 'cost': 52.574550390272385, 'latency': 4.4, 'utilization': 0.514910078054478, 'throughput': 0.10328834959330307}"
6,"{'reward': 0.2020054391783031, 'makespan': 2002.3227027078638, 'energy': 3.6897160415530186, 'cost': 52.47570760546309, 'latency': 4.505, 'utilization': 0.4951415210926177, 'throughput': 0.1005411009698935}"
7,"{'reward': 0.21129624666810742, 'makespan': 0.665762911610433, 'energy': 3.736651611833908, 'cost': 52.53134290000957, 'latency': 4.525, 'utilization': 0.5062685800019142, 'throughput': 0.10018086883876355}"
8,"{'reward': 0.20724109465428392, 'makespan': 2000.8213121577533, 'energy': 3.7163319104229156, 'cost': 52.504920214144015, 'latency': 4.445, 'utilization': 0.5009840428288017, 'throughput': 0.10160683348299443}"
9,"{'reward': 0.2050268326942074, 'makespan': 4000.796370409166, 'energy': 3.70610532139373, 'cost': 52.49211992365339, 'latency': 4.45, 'utilization': 0.4984239847306823, 'throughput': 0.1023340302628228}"
10,"{'reward': 0.21445126389665675, 'makespan': 6000.773663287731, 'energy': 3.7757329018076553, 'cost': 52.55211478660668, 'latency': 4.465, 'utilization': 0.5104229573213405, 'throughput': 0.10156615022404494}"
11,"{'reward': 0.2155615047057031, 'makespan': 4000.856634693059, 'energy': 3.807931070946769, 'cost': 52.56379158046384, 'latency': 4.485, 'utilization': 0.5127583160927704, 'throughput': 0.10107580895196991}"
12,"{'reward': 0.20888316592059183, 'makespan': 0.7278513558769636, 'energy': 3.741861956942114, 'cost': 52.51816620480347, 'latency': 4.465, 'utilization': 0.5036332409606973, 'throughput': 0.10119266749762103}"
13,"{'reward': 0.19969525194420443, 'makespan': 4000.864750225559, 'energy': 3.6415258775440464, 'cost': 52.45494180637964, 'latency': 4.475, 'utilization': 0.49098836127592776, 'throughput': 0.10175157762773859}"
